Year,Smoke_Impact
1963,4965.838235203417
1964,4634.482085633096
1965,1861.1929254390925
1966,11986.474454841551
1967,1420.6662422959332
1968,1356.920803534145
1969,2594.035973158112
1970,3036.077030510179
1971,16046.808083469869
1972,10820.311817890386
1973,6769.507778192335
1974,7536.052189352651
1975,4272.150984550023
1976,8913.158319042363
1977,3277.3631865198636
1978,2166.9771810882007
1979,11793.27716236063
1980,9380.34777911549
1981,26388.54739483084
1982,5493.912027424715
1983,17818.765978989195
1984,19855.39454245859
1985,35980.2407808756
1986,26709.722003406754
1987,24027.641214773517
1988,129225.73961138348
1989,43531.55501319573
1990,17196.262140012383
1991,19144.713621433435
1992,28995.085315993583
1993,22556.775110894756
1994,67371.5081573047
1995,34987.02090649928
1996,131816.93472433183
1997,12266.462318009977
1998,32080.08031321711
1999,73483.86234612629
2000,171380.03395762257
2001,48443.48257300597
2002,152079.54496772154
2003,75284.10935092221
2004,35039.8542620909
2005,105267.05046517603
2006,206126.82595971238
2007,154093.5033091066
2008,71483.97048474125
2009,112622.2627219051
2010,73713.47773315971
2011,250834.89281920518
2012,287416.902277748
2013,61084.4875952478
2014,85944.8076821138
2015,82479.58267393403
2016,163148.07272637126
2017,227671.1849885813
2018,206503.46984741016
2019,51889.994806973125
2020,354315.47296283196
